"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-06-30,70600,"29615","SC","Greenville","Greenville","Greenville",992,228100,0.00573192239858906,0.0155832591273375,0.0560185185185185,0.0545498036466792,0.0205036464336177,"2017-06","2017-Q2",228100,0,"2017-06"
2017-06-30,98170,"95403","CA","Santa Rosa","Sonoma","Santa Rosa",993,523100,0.00441628264208909,0.0100405483684109,0.0834714167357084,0.121075459253327,0.00125115901868522,"2006-04","2006-Q2",565200,-0.0744869072894551,"2005-05"
2017-06-30,58945,"02860","RI","Providence","Providence","Pawtucket",994,170000,0.00950118764845606,0.0290556900726392,0.0685103708359522,0.0602235821789261,-0.0227091927009796,"2006-06","2006-Q2",224700,-0.243435692033823,"2003-10"
2017-06-30,100154,"99205","WA","Spokane","Spokane","Spokane",995,150100,0.0100942126514132,0.0294924554183813,0.0790797987059669,0.0610682012629979,0.00756748887729297,"2017-06","2017-Q2",150100,0,"2017-06"
2017-06-30,60763,"07712","NJ","New York","Monmouth","Asbury Park",996,356900,0.00961810466760962,0.0306092982962749,0.0714500150105074,0.037498004497829,-0.00327451316798411,"2006-03","2006-Q1",386000,-0.0753886010362694,"2005-04"
2017-06-30,74166,"37087","TN","Nashville","Wilson","Lebanon",997,222400,0.00953245574216977,0.0329772410589875,0.104270109235353,0.0724023201531612,0.0288780075374018,"2017-06","2017-Q2",222400,0,"2017-06"
2017-06-30,76463,"43016","OH","Columbus","Franklin","Dublin",998,272000,0.00406053894425987,0.013790532985464,0.0963321241434905,0.0521006520201142,0.0167370344279307,"2017-06","2017-Q2",272000,0,"2017-06"
2017-06-30,96735,"92223","CA","Riverside","Riverside","Beaumont",999,307500,0.0032626427406199,0.00621727748691099,0.0552505147563487,0.109861712042048,-0.0174528030487459,"2006-08","2006-Q3",389400,-0.210323574730354,"2004-12"
2017-06-30,72480,"33178","FL","Miami-Fort Lauderdale","Miami-Dade","Doral",1000,326700,0,-0.00487359122753579,0,0.065314768769424,-0.0136937465562413,"2007-02","2007-Q1",384000,-0.14921875,"2005-09"
2017-06-30,96996,"92692","CA","Los Angeles-Long Beach-Anaheim","Orange","Mission Viejo",1001,692800,0.00245984662132832,-0.000144320969836917,0.0337212772306774,0.0723359928263894,0.00176352085656561,"2006-02","2006-Q1",729600,-0.0504385964912281,"2005-07"
2017-06-30,67770,"23602","VA","Virginia Beach","Newport News City","Newport News",1002,183800,-0.00325379609544469,-0.00648648648648649,-0.00108695652173913,0.00496987492432766,-0.0154650834664811,"2007-06","2007-Q2",214800,-0.144320297951583,"2005-10"
2017-06-30,72482,"33180","FL","Miami-Fort Lauderdale","Miami-Dade","Aventura",1003,375300,0.0008,-0.0105457421566043,-0.0100237404378792,0.0554082280992854,-0.0118933555084092,"2006-11","2006-Q4",450900,-0.167664670658683,"2005-05"
2017-06-30,99508,"98023","WA","Seattle","King","Federal Way",1004,357700,0.0138888888888889,0.0462123427902896,0.121668234556287,0.100897190759042,0.00833748256447686,"2017-06","2017-Q2",357700,0,"2017-06"
2017-06-30,70295,"29073","SC","Columbia","Lexington","Lexington",1005,128000,0.00156494522691706,0.00946372239747634,0.0355987055016181,0.0212956876001351,0.00723270935900788,"2017-06","2017-Q2",128000,0,"2017-06"
2017-06-30,81623,"54220","WI","Manitowoc","Manitowoc","Manitowoc",1006,104800,0.00479386385426654,0.0244379276637341,0.0682976554536188,0.0141293311693358,0.00271176606420154,"2010-02","2010-Q1",105900,-0.0103871576959396,"2010-01"
2017-06-30,69813,"28262","NC","Charlotte","Mecklenburg","Charlotte",1007,170000,0.0101010101010101,0.024713682941531,0.121372031662269,0.0647936808688221,0.0132045415602022,"2017-06","2017-Q2",170000,0,"2017-06"
